name,url,allies killed,axis killed,allies_destroyed_tanks,allies_destroyed_airplane,allies_destroyed_guns,axis_destroyed_tanks,axis_destroyed_airplane,axis_destroyed_guns,belligerents.allies,belligerents.axis,axis_leaders,allies_leaders,result_prop,result,axis_planes,axis_guns,axis_tanks,axis_infantry,allies_planes,allies_guns,allies_tanks,allies_infantry,level,parent,latlon,start,end
Battle of Voronezh (1943),https://en.wikipedia.org/wiki/Battle_of_Voronezh_(1943),13876,91000,0,0,0,143,0,765,Soviet Union,Germany   Hungary,"Maximilian von Weichs,Hans von Salmuth,Gusztáv Jány","Aleksandr Vasilevsky,Filipp Golikov,Max Reyter",1,axis,,,960,327900,,,2100,987000,100,Eastern Front,,1943-01,1943-02
Third Battle of Kharkov,https://en.wikipedia.org/wiki/Third_Battle_of_Kharkov,45219,4500,0,0,0,0,0,0,Soviet Union,Germany,"Erich von Manstein,Paul Hausser,Hermann Hoth,E. von Mackensen,Theodor Eicke  ","Filipp Golikov,Nikolay Vatutin,K. Rokossovsky,Vasily Koptsov",1,axis,,,,560000,,,,70000,100,Eastern Front,"49.96667,36.31667",1943-02,1943-03
Battle of Prokhorovka,https://en.wikipedia.org/wiki/Battle_of_Prokhorovka,5500,842,400,0,0,80,5,0,Soviet Union,Germany,"Hermann Hoth,Paul Hausser,Otto Deßloch","Nikolai Vatutin,Pavel Rotmistrov,Alexei Zhadov,Stepan Krasovsky,Vladimir Sudets",0,,,,294,,,,616,,100,Battle of Kursk,"51.03639,36.73639",1943-07,1943-07
Operation Kutuzov,https://en.wikipedia.org/wiki/Operation_Kutuzov,112529,14215,2586,1014,892,0,218,0,Soviet Union,Germany,"Walter Model,Lothar Rendulic,Robert Ritter von Greim","Konstantin Rokossovsky,Hovhannes Bagramyan",1,axis,610,5500,625,300700,3023,26379,2409,1286000,100,Battle of Kursk,,1943-07,1943-08
Battle of Lenino,https://en.wikipedia.org/wiki/Battle_of_Lenino,3000,1500,0,0,0,0,0,0,Soviet Union   Poland,Germany,Gottfried Fröhlich,"Vasiliy Nikolayevich Gordov,Zygmunt Berling",1,,,,400,15000,138,,,165000,100,Battle of Smolensk (1943),,1943-10,1943-10
Battle of Belgorod,https://en.wikipedia.org/wiki/Battle_of_Belgorod,,,0,0,0,0,0,0,Soviet Union,Nazi Germany,Erich von Manstein,"Nikolai Vatutin,Ivan Konev",1,axis,,,,,,,,,100,Fourth Battle of Kharkov,,1943-08,1943-08
Battle of Kiev (1943),https://en.wikipedia.org/wiki/Battle_of_Kiev_(1943),28141,2628,271,125,0,0,0,0,Soviet Union   Czechoslovakia,Germany,Nikolai Vatutin,"Hermann Hoth,Erhard Raus",1,axis,700,7000,675,730000,,,,,100,Battle of the Dnieper,,1943-11,1943-12
Korsun Pocket,https://en.wikipedia.org/wiki/Battle_of_the_Korsun%E2%80%93Cherkassy_Pocket,24286,30000,728,0,0,156,50,0,Soviet Union,Germany,"Erich von Manstein,Otto Wöhler,Hermann Breith,Wilhelm Stemmermann","Georgy Zhukov,Nikolai Vatutin,Ivan Konev",1,allies,,242,318,140000,1054,5300,924,336700,100,Dnieper–Carpathian Offensive,,1944-01,1944-02
Uman-Botoshany Offensive,https://en.wikipedia.org/wiki/Uman%E2%80%93Boto%C8%99ani_Offensive,123204,45000,0,0,0,0,0,0,Soviet Union,Germany   Romania,Ivan Konev,Erich von Manstein,0.5,allies,,3500,450,400000,,8890,670,691000,100,Dnieper–Carpathian Offensive,,1944-03,1944-04
Kamenets-Podolsky pocket,https://en.wikipedia.org/wiki/Kamenets-Podolsky_pocket,,,318,0,0,678,0,0,Soviet Union,Germany,"Erich von Manstein,Hans-Valentin Hube","Georgi Zhukov,Nikolai Vatutin ,Ivan Koniev ",1,allies,,50,93,220000,,,,,100,Dnieper–Carpathian Offensive,,1944-03,1944-04
Leningrad–Novgorod Offensive,https://en.wikipedia.org/wiki/Leningrad%E2%80%93Novgorod_Offensive,76686,24739,0,0,0,0,0,0,Soviet Union,Germany,"Georg von Küchler,Walter Model","Kirill Meretskov,Leonid Govorov",1,allies,140,2389,146,500000,653,4600,550,822000,100,Eastern Front,,1944-01,1944-03
Korsun-Cherkassy Pocket,https://en.wikipedia.org/wiki/Korsun-Cherkassy_Pocket,24286,30000,728,0,0,156,50,0,Soviet Union,Germany,"Erich von Manstein,Otto Wöhler,Hermann Breith,Wilhelm Stemmermann","Georgy Zhukov,Nikolai Vatutin,Ivan Konev",1,allies,,242,318,140000,1054,5300,524,336700,100,Eastern Front,,1944-01,1944-02
Krasnoye Selo–Ropsha Offensive,https://en.wikipedia.org/wiki/Krasnoye_Selo%E2%80%93Ropsha_Offensive,,,0,0,0,0,0,0,Soviet Union,Germany,Georg von Küchler,Leonid Govorov,1,axis,,,110,150000,,1200,681,450000,100,Battle of Narva (1944),,1944-01,1944-01
Kingisepp–Gdov Offensive,https://en.wikipedia.org/wiki/Kingisepp%E2%80%93Gdov_Offensive,,,0,0,0,0,0,0,Soviet Union,Germany,Georg Lindemann,Leonid Govorov,1,axis,400,1500,100,100000,,,,300000,100,Battle of Narva (1944),,1944-02,1944-03
Battle of Auvere,https://en.wikipedia.org/wiki/Battle_of_Auvere,3000,200,29,17,0,0,0,0,Soviet Union,"Germany 
 
 Estonian conscripts",Felix Steiner,Filip Starikov,1,axis,49,36,,17100,546,300,,46385,100,Battle for Narva Bridgehead,"59.35056,27.93056",1944-07,1944-07
Narva Offensive (15–28 February 1944),https://en.wikipedia.org/wiki/Narva_Offensive_(15%E2%80%9328_February_1944),,,0,0,0,0,0,0,Soviet Union,Germany,Johannes Frießner,Leonid Govorov,1,axis,400,1500,100,123541,,,,200000,100,Battle of Narva (1944),,1944-02,1944-02
Narva Offensive (1–4 March 1944),https://en.wikipedia.org/wiki/Narva_Offensive_(1%E2%80%934_March_1944),,,0,0,0,0,0,0,,Soviet Union,Johannes Frießner,Leonid Govorov,1,axis,,,,123541,800,2500,100,200000,100,Battle of Narva (1944),,1944-03,1944-03
Battle of Tannenberg Line,https://en.wikipedia.org/wiki/Battle_of_Tannenberg_Line,35000,2500,164,0,0,6,0,0,Soviet Union,Germany,Felix Steiner,Leonid Govorov,0.5,axis,49,,87,22250,546,,1830,136830,100,Narva Offensive (July 1944),"59.37556,27.85472",1944-07,1944-08
Kerch-Eltigen Operation,https://en.wikipedia.org/wiki/Kerch-Eltigen_Operation,0,0,0,0,0,0,0,0,Soviet Union,Germany   Romania,"Erwin Jaenecke,Corneliu Teodorini","Ivan Petrov,Lev Vladimirsky",0.5,axis,,,,,,,,,100,Crimean Offensive (1944),,1943-11,1943-11
Shyaulyay Offensive,https://en.wikipedia.org/wiki/Shyaulyay_Offensive,0,0,0,0,0,0,0,0,Soviet Union,Germany,"Georg-Hans Reinhardt,Paul Laux",Hovhannes Bagramyan,1,axis,,,,,,,,,100,Eastern Front,"56.0,24.0",1944-07,1944-08
Battle of Someri,https://en.wikipedia.org/wiki/Battle_of_Someri,128,23,0,5,1,0,0,2,Soviet Union,Finland   Nazi Germany,,,1,axis,,,,,,,,,100,Eastern Front,"60.207,27.643",1942-07,1942-07
Vyborg–Petrozavodsk Offensive,https://en.wikipedia.org/wiki/Vyborg%E2%80%93Petrozavodsk_Offensive,6018,9300,0,0,0,0,0,0,Soviet Union,Finland   Germany,"C.G.E. Mannerheim,Karl Lennart Oesch","Leonid Govorov,Kirill Meretskov",0.5,allies,248,1930,110,75000,1600,10500,800,451500,100,Eastern Front,,1944-06,1944-08
Vitebsk–Orsha Offensive,https://en.wikipedia.org/wiki/Vitebsk%E2%80%93Orsha_Offensive,11014,41700,318,113,0,126,0,0,Soviet Union,Nazi Germany,"Georg-Hans Reinhardt, Kurt von Tippelskirch,","Hovhannes Bagramyan, Ivan Chernyakhovsky,",1,axis,,,400,210000,,,,,100,Operation Bagration,"53.0,23.0",1944-06,1944-06
Mogilev Offensive,https://en.wikipedia.org/wiki/Mogilev_Offensive,,33000,0,0,0,0,0,0,Soviet Union,Nazi Germany,"Kurt von Tippelskirch,",Georgiy Zakharov ,1,axis,,,,,,,,,100,Operation Bagration,,1944-06,1944-06
Bobruysk Offensive,https://en.wikipedia.org/wiki/Bobruysk_Offensive,,,0,0,0,0,0,0,Soviet Union,Germany,"Hans Jordan,",Konstantin Rokossovsky ,1,axis,,,,90000,,,,,100,Operation Bagration,,1944-06,1944-06
Minsk Offensive,https://en.wikipedia.org/wiki/Minsk_Offensive,,40000,0,0,0,0,0,0,Soviet Union,Germany,"Walter Model ,Kurt von Tippelskirch,Dietrich von Saucken,Vincenz Müller,","Ivan Chernyakhovsky ,Konstantin Rokossovsky ,Georgiy Zakharov ,Hovhannes Bagramyan ",1,axis,,,,,,,,,100,Operation Bagration,,1944-06,1944-07
Polotsk Offensive,https://en.wikipedia.org/wiki/Polotsk_Offensive,,37000,0,0,0,0,0,0,Soviet Union,Nazi Germany,"Georg-Hans Reinhardt, Rolf Wuthmann,",Hovhannes Bagramyan ,1,axis,,,,,,,,,100,Operation Bagration,,1944-06,1944-07
Šiauliai Offensive,https://en.wikipedia.org/wiki/%C5%A0iauliai_Offensive,,,0,0,0,0,0,0,Soviet Union,Germany,"Georg-Hans Reinhardt,Paul Laux",Hovhannes Bagramyan,1,axis,,,,,,,,,100,Operation Bagration,"56.0,24.0",1944-07,1944-08
Vilnius Offensive,https://en.wikipedia.org/wiki/Vilnius_Offensive,,8000,70,0,0,0,0,0,Soviet Union,Germany,"Ivan Chernyakhovsky,Pavel Rotmistrov","Walter Model,Dietrich von Saucken,Rainer Stahel,Theodor Tolsdorff",1,axis,,,,100000,,,,7700,100,Operation Bagration,"54.667,25.25",1944-07,1944-07
Belostock Offensive,https://en.wikipedia.org/wiki/Belostock_Offensive,,30000,0,0,0,0,0,0,Soviet Union,Nazi Germany,"Helmuth Weidling,Walter Weiß",Georgy Zakharov,1,axis,,,,,,,,,100,Operation Bagration,,1944-07,1944-07
Lublin–Brest Offensive,https://en.wikipedia.org/wiki/Lublin%E2%80%93Brest_Offensive,,,0,0,0,0,0,0,Soviet Union   Poland,Germany   Romania,"Josef Harpe,Georg Hans Reinhardt",Konstantin Rokossovsky,1,axis,,,,,,,,,100,Operation Bagration,,1944-07,1944-09
Kaunas Offensive,https://en.wikipedia.org/wiki/Kaunas_Offensive,,,0,0,0,0,0,0,Soviet Union,Germany,Walter Model,Ivan Chernyakhovsky,1,axis,,,,,,,,,100,Operation Bagration,"54.917,24.0",1944-07,1944-08
Osovets Offensive,https://en.wikipedia.org/wiki/Osovets_Offensive,,,0,0,0,0,0,0,Soviet Union,Nazi Germany,"Helmuth Weidling , Friedrich Herrlein",Gyorgy Zakharov,0.5,axis,,,,,,,,,100,Operation Bagration,,1944-08,1944-08
Battle of Tali-Ihantala,https://en.wikipedia.org/wiki/Battle_of_Tali-Ihantala,6958,1350,600,280,0,3,12,0,Soviet Union,Finland Supported by:   Nazi Germany,"Carl Gustaf Emil Mannerheim,Karl Lennart Oesch,Kurt Kuhlmey","Leonid Govorov,Dmitry Gusev,Aleksandr Cherepanov",1,axis,,,,54000,,,,150000,100,Eastern Front,"60.767,28.883",1944-06,1944-07
Battle of the Bay of Viipuri,https://en.wikipedia.org/wiki/Battle_of_the_Bay_of_Viipuri,,,0,0,0,0,0,0,Soviet Union,Finland       Nazi Germany,Leonid Govorov,"Pekka Enkainen,Hero Breusing",0.5,axis,,,,,,,,,100,Eastern Front,"60.583,28.5",1944-06,1944-07
Lvov–Sandomierz Offensive,https://en.wikipedia.org/wiki/Lvov%E2%80%93Sandomierz_Offensive,65001,55000,1269,289,0,0,0,0,"Soviet Union   Poland 
 
 
   Armia Krajowa ( 23-27 July )",Germany   Hungary,Josef Harpe,Ivan Konev,1,allies,,6300,900,900000,,11265,1979,1002200,100,Eastern Front,,1944-07,1944-08
Battle of Radzymin (1944),https://en.wikipedia.org/wiki/Battle_of_Radzymin_(1944),,,0,0,0,0,0,0,Soviet Union,Nazi Germany,Dietrich von Saucken,Alexei Radzievsky,1,axis,,,400,20000,,,800,,100,Eastern Front,,1944-08,1944-08
Warsaw Uprising,https://en.wikipedia.org/wiki/Warsaw_Uprising,20860,17000,0,0,0,0,0,0,"Polish Underground State     Polish First Army (from 14 September) [1] 
 
 
 Supported by: 
 
   United Kingdom   (4 August – 21 September)   United States (only on 18 September)   South Africa   Soviet Union (from 13 September)",Germany,"Walter Model,Nikolaus von Vormann,Rainer Stahel,Erich von dem Bach-Zelewski,Heinz Reinefarth,Bronislav Kaminski,Oskar Dirlewanger,Petro Dyachenko,Robert Ritter von Greim","Tadeusz Bór-Komorowski,Tadeusz Pełczyński,Antoni Chruściel,Karol Ziemski,Edward Pfeiffer,Leopold Okulicki,Jan Mazurkiewicz,Zygmunt Berling",1,axis,,,,50000,,,,49000,100,Eastern Front,"52.23,21.01083",1944-08,1944-10
Battle of Studzianki,https://en.wikipedia.org/wiki/Battle_of_Studzianki,2000,1000,27,0,0,40,0,26,Soviet Union     Poland,Germany,"Gen.Maj.,Schmalz","Ivan Kulagin,2nd Lt. Świetana",1,allies,,,,45000,,,,153500,100,Eastern Front,,1944-08,1944-08
Operation Doppelkopf,https://en.wikipedia.org/wiki/Operation_Doppelkopf,,,0,0,0,0,0,0,Soviet Union,Germany,"Georg-Hans Reinhardt,Erhard Raus","Ivan Chernyakhovsky,Hovhannes Bagramyan",0,,,,,,,,,,100,Eastern Front,"55.833,23.167",1944-08,1944-08
First Battle of Târgu Frumos,https://en.wikipedia.org/wiki/First_Battle_of_T%C3%A2rgu_Frumos,,,0,0,0,0,0,0,Soviet Union,"Germany 
   Romania","Otto Wöhler 
 Hasso von Manteuffel 
,Mihai Racoviţǎ","Ivan Konev,Semen Bogdanov,F.F. Zhmachenko,Sergei Trofimenko",1,axis,,,160,60000,,,100,225000,100,Battle of Târgul Frumos,,1944-04,1944-04
Second Battle of Târgu Frumos,https://en.wikipedia.org/wiki/Second_Battle_of_T%C3%A2rgu_Frumos,,,0,0,0,0,0,0,Soviet Union,Germany   Romania,"Ferdinand Schoerner,Mihai Racoviță",Ivan Konev,1,axis,,,,,,,,,100,Battle of Târgul Frumos,,1944-05,1944-05
Slovak National Uprising,https://en.wikipedia.org/wiki/Slovak_National_Uprising,12000,4200,0,0,0,0,0,0,"1st Czechoslovak Army in Slovakia 
 
   Slovak Insurgent Air Force 
   Soviet Air Force   US Army Air Force","Germany   Slovak Republic 
 
   POHG","Gottlob Berger,Hermann Höfle,Ferdinand Čatloš","Ján Golian,Rudolf Viest  ",1,axis,,,,83000,,,,18000,100,Eastern Front,,1944-10,1944-10
Battle of the Dukla Pass,https://en.wikipedia.org/wiki/Battle_of_the_Dukla_Pass,10060,70000,0,0,0,0,0,0,Soviet Union   Czechoslovakia,Germany   Hungary,"Gotthard Heinrici,Béla Miklós,,Dezső László,","Ivan Konev,Andrei Grechko,Kirill Moskalenko,Ludvík Svoboda",0.5,axis,,2000,350,100000,,3241,1000,378000,100,Eastern Front,,1944-09,1944-10
Riga Offensive (1944),https://en.wikipedia.org/wiki/Riga_Offensive_(1944),,,0,0,0,0,0,0,Soviet Union,Germany,Ferdinand Schörner,"Ivan Bagramyan,Andrei Yeremenko,Ivan Maslennikov",1,axis,,,,,,,,,100,Baltic Offensive,,1944-09,1944-10
Battle of Porkuni,https://en.wikipedia.org/wiki/Battle_of_Porkuni,1000,500,0,0,0,0,0,0,Soviet Union,Estonian conscripts,Juhan Vermet,August Feldman,1,axis,,,,1500,,,,10000,100,Tallinn Offensive,"59.17778,26.16028",1944-09,1944-09
Moonsund Landing Operation,https://en.wikipedia.org/wiki/Moonsund_Landing_Operation,,7000,0,0,0,0,0,0,Soviet Union   Finland [1],Germany,Ferdinand Schörner,Leonid Govorov,1,axis,,,,18000,,,,,100,Baltic Offensive,,1944-09,1944-11
Battle of Memel,https://en.wikipedia.org/wiki/Battle_of_Memel,,,0,0,0,0,0,0,Soviet Union,Germany,Erhard Raus  Hans Gollnick ,Hovhannes Bagramyan,1,axis,,,,,,,,,100,Baltic Offensive,"55.667,21.5",1944-10,1945-01
Belgrade Offensive,https://en.wikipedia.org/wiki/Belgrade_Offensive,7303,45000,0,0,0,0,0,0,Allies :    Soviet Union   Yugoslav Partisans   Bulgaria,"Axis :   Germany 
 
   Government of National Salvation","Fyodor Tolbukhin,Vladimir Zhdanov,Peko Dapčević,Danilo Lekić,Vladimir Stoychev,Kiril Stanchev","Maximilian von Weichs,Wilhelm Schneckenburger  ,Hans Felber,Alexander Löhr",0.5,allies,1420,3640,520,580000,350,2100,125,150000,100,Eastern Front,,1944-09,1944-10
Battle of Debrecen,https://en.wikipedia.org/wiki/Battle_of_Debrecen,19713,15000,500,0,1656,200,0,490,Soviet Union   Romania,Germany   Hungary,Johannes Friessner ,Rodion Malinovsky ,0.5,axis,741,3500,293,240952,1216,10238,825,865506,100,Eastern Front,,1944-10,1944-10
Operation Panzerfaust,https://en.wikipedia.org/wiki/Operation_Panzerfaust,,,0,0,0,0,0,0,Hungary,Nazi Germany   Arrow Cross Party,"Edmund Veesenmayer,Otto Skorzeny,Ferenc Szálasi,Károly Beregfy Iván Hindy","Miklós Horthy,Géza Lakatos,Lajos Csatay,János Vörös Béla,Miklós Lajos Veress",1,axis,,,,,,,,,100,Eastern Front,,1944-10,1944-10
Courland Pocket,https://en.wikipedia.org/wiki/Courland_Pocket,160948,117871,0,0,0,0,0,0,Soviet Union,Germany,"Ferdinand Schörner,Lothar Rendulic,Heinrich von Vietinghoff,Carl Hilpert","Hovhannes Bagramyan,Andrey Yeryomenko,Leonid Govorov",0.5,allies,,,,,,,,,100,Eastern Front,,1944-10,1945-05
Gumbinnen Operation,https://en.wikipedia.org/wiki/Gumbinnen_Operation,16819,6801,914,0,0,115,0,0,Soviet Union,Germany,Friedrich Hoßbach,Ivan Chernyakhovsky,1,axis,,,318,,,,,377300,100,Eastern Front,,1944-10,1944-10
Battle of Poznań (1945),https://en.wikipedia.org/wiki/Battle_of_Pozna%C5%84_(1945),10700,6100,0,0,0,0,0,0,Soviet Union   Poland,Nazi Germany   Hungary,"Ernst Mattern,Ernst Gonell","Mikhail Katukov,Vasily Chuikov",1,axis,,,,84000,,,,105000,100,Vistula–Oder Offensive,,1945-01,1945-02
Heiligenbeil Pocket,https://en.wikipedia.org/wiki/Heiligenbeil_Pocket,146780,80000,2000,0,0,605,0,0,Soviet Union,Nazi Germany,"Friedrich Hossbach,Friedrich Müller","Konstantin Rokossovsky ,Ivan Chernyakhovsky ,Aleksandr Vasilevsky,",1,axis,,,,150000,,,,,100,East Prussian Offensive,,1945-01,1945-03
Battle of Königsberg,https://en.wikipedia.org/wiki/Battle_of_K%C3%B6nigsberg,60000,50000,0,0,0,0,0,0,Soviet Union,Germany,Otto Lasch   ,"Aleksandr Vasilyevskiy,Konstantin Rokossovskiy",1,axis,170,4000,108,130000,2174,5200,528,137000,100,East Prussian Offensive,,1945-01,1945-04
Defense of Schwedt Bridgehead,https://en.wikipedia.org/wiki/Defense_of_Schwedt_Bridgehead,,,0,0,0,0,0,0,"2nd Belorussian Front, Soviet Union",9th Army Germany,"Heinrich Himmler,Otto Skorzeny",Konstantin Rokossovsky,1,allies,,,400,30000,,,800,300000,100,Eastern Front,,1945-02,1945-03
Siege of Breslau,https://en.wikipedia.org/wiki/Siege_of_Breslau,13000,6000,0,0,0,0,0,0,Soviet Union,Germany,"Hans von Ahlfen,Hermann Niehoff",Vladimir A. Gluzdovskii,1,allies,,,,87334,,,,50000,100,Lower Silesian Offensive,"51.117,17.033",1945-02,1945-05
Upper Silesian Offensive,https://en.wikipedia.org/wiki/Upper_Silesian_Offensive,66801,,0,0,0,0,0,0,Soviet Union,Nazi Germany,Ferdinand Schoerner,Ivan Konev,1,axis,,,,,,,,408400,100,Silesian Offensives,,1945-03,1945-03
Operation Solstice,https://en.wikipedia.org/wiki/Operation_Solstice,,,0,0,0,0,0,0,Soviet Union,Germany,"Walther Wenck,Felix Steiner",Georgy Zhukov,0.5,allies,,,1400,15000,,,,,100,Eastern Front,"53.2,15.02",1945-02,1945-02
Battle of Kolberg,https://en.wikipedia.org/wiki/Battle_of_Kolberg_(1945),1206,,0,0,0,0,0,0,Soviet Union   Poland,Germany,Fritz Fullriede,Stanislav Poplavsky,1,allies,,,,10000,,,,28000,100,East Pomeranian Offensive,,1945-03,1945-03
Battle of the Transdanubian Hills,https://en.wikipedia.org/wiki/Battle_of_the_Transdanubian_Hills,2500,10000,0,0,0,0,0,0,Bulgaria       Soviet Union   Yugoslavia,Germany,"Vladimir Stoychev,Mikhail N. Sharokhin ,Kosta Nađ","Maximilian de Angelis,W. von Erdmannsdorff",1,allies,,,,200000,,,,450000,100,Operation Spring Awakening,,1945-03,1945-03
Nagykanizsa–Kermend Offensive,https://en.wikipedia.org/wiki/Nagykanizsa%E2%80%93Kermend_Offensive,,,0,0,0,0,0,0,Bulgaria   Soviet Union   Yugoslav Partisans,Germany   Hungary   Independent State of Croatia,"Vladimir Stoychev,Mikhail Sharokhin",Otto Wöhler,1,allies,,,,300000,,,,600000,100,Eastern Front,,1945-03,1945-04
Vienna Offensive,https://en.wikipedia.org/wiki/Vienna_Offensive,38661,30000,603,0,764,1345,0,2250,Soviet Union   Bulgaria     Austrian Resistance,Germany   Hungary,"Rudolf von Bünau,Wilhelm Bittrich","Fyodor Tolbukhin,Vladimir Stoychev",1,allies,,434,772,270000,,5425,1600,1171800,100,Eastern Front,,1945-04,1945-04
Samland Offensive,https://en.wikipedia.org/wiki/Samland_Offensive,,80000,0,0,0,0,0,0,Soviet Union,Nazi Germany,"Hans Gollnick,Dietrich von Saucken ",Hovhannes Bagramyan ,1,axis,,,,,,,,,100,Eastern Front,,1945-04,1945-04
Battle of the Seelow Heights,https://en.wikipedia.org/wiki/Battle_of_the_Seelow_Heights,33000,12000,0,0,0,0,0,0,Soviet Union   Poland,Germany,"Gotthard Heinrici,Ferdinand Schörner","Georgy Zhukov,Vasily Chuikov",1,allies,,16934,3059,1000000,,2625,587,112143,100,Battle of the Oder-Neisse,"52.529806,14.426083",1945-04,1945-04
Battle of Halbe,https://en.wikipedia.org/wiki/Battle_of_Halbe,20000,60000,0,0,0,0,0,0,Soviet Union,Germany,"Theodor Busse,Walther Wenck","Georgy Zhukov,Ivan Konev",1,axis,,,79,80000,,,,280000,100,Battle of Berlin,"52.10667,13.70083",1945-04,1945-05
Battle of Bautzen (1945),https://en.wikipedia.org/wiki/Battle_of_Bautzen_(1945),4902,1598,250,0,0,0,0,0,Soviet Union   Poland,Nazi Germany,"Ferdinand Schörner,Wilhelm Schmalz,Hermann von Oppeln-Bronikowski","Ivan Konev,Vladimir Kostylev,Karol Świerczewski",1,axis,,600,300,50000,,,500,110000,100,Eastern Front,,1945-04,1945-04
Prague Offensive,https://en.wikipedia.org/wiki/Prague_Offensive,52498,229370,0,0,0,0,0,0,"Allies :   Soviet Union   Czechoslovakia   Romania   Poland 
 
 
   Russian Liberation Army","Axis :   Germany   Hungary [1]   Slovak Republic 
 
   POHG","Ferdinand Schörner,Lothar Rendulic","Ivan Konev,Rodion Malinovsky,Andrey Yeryomenko,Karel Klapálek,Vasile Atanasiu,Nicolae Dăscălescu,Karol Świerczewski,Sergei Bunyachenko",0.5,allies,,,,1089000,,,,2046100,100,Eastern Front,,1945-05,1945-05
Battle of Odzak,https://en.wikipedia.org/wiki/Battle_of_Odzak,12000,1750.0,0,0,0,0,0,0,Yugoslav Partisans,Ustashe,Petar Rajkovačić,"Miloš Zekić,Mato Belić",0.5,allies,,,,1800,,,,35000,100,Eastern Front,"45.0,18.26",1945-04,1945-05
